Wow, NN
did, VBD
around, IN
Now, RB
stop, VB
crying, VBG
mouth, NN
Please, VB
sit, VB
beauty, NN
talks, VBZ
lot, NN
That, WDT
fair, JJ
That, DT
fault, NN
The, DT
mine, PDT
power, NN
These, DT
birds, NNS
lack, VBP
nothing, NN
startled, VBD
person, NN
teach, VB
Climb, NN
top, JJ
and, CC
join, VB
Cut, NNP
potatoes, NNS
have, VB
rice, VBN
make, VB
faces, VBZ
Have, VB
nice, JJ
long, RB
legs, VBN
her, PRP$
friend, NN
likes, VBZ
oranges, NNS
love, VB
speaks, VBZ
Here, RB
remember, VB
problem, NN
live, VBP
near, IN
mother, NN
leave, VB
really, RB
tired, VBN
thirsty, JJ
April, NNP
first, VBD
turn, NN
Nice, NNP
meet, VB
follow, VB
sign, NN
betrayed, VBD
Sit, NNP
please, VB
ready, JJ
key, NN
right, JJ
hurry, NN
Japan, NNP
age, NN
bird, NN
story, NN
name, NN
bar, NN
Whose, NNP
may, MD
eyes, NNS
bad, JJ
build, VBP
nests, NNS
build, NN
Boys, NNP
boys, NNS
Can, NNP
anything, NN
believe, VB
deceive, VB
began, VBD
see, VB
employs, VBZ
maid, NN
after, IN
job, NN
walking, VBG
studied, VBD
abroad, RB
turned, VBD
traitor, NN
already, RB
left, VBN
cried, VBD
all, DT
night, NN
got, VBD
sleepy, JJ
headache, NN
some, DT
met, VBN
listen, VBP
truly, RB
loved, VBD
work, VBP
bank, NN
getting, VBG
student, NN
starting, VBG
My, NNP
stolen, VBN
one, NN
sight, NN
Put, VB
hands, NNS
blue, JJ
married, VBN
Tell, VB
truth, NN
earth, NN
rotates, VBZ
Try, VBP
once, RB
Try, VB
Turn, VBP
radio, NN
news, NN
happiness, NN
matter, NN
do, VB
live, VB
beach, NN
made, VBD
pie, NN
we, PRP
along, IN
sleep, VBP
well, RB
Do, VB
hope, NN
throw, VB
stones, NNS
Everyone, NN
gone, VBN
nuts, NNS
breathed, VBD
deeply, RB
closed, VBD
his, PRP$
simple, JJ
sure, JJ
cousin, NN
waited, VBD
works, VBZ
admit, VBP
mistake, NN
read, VB
English, JJ
know, VBP
address, NN
those, DT
women, NNS
father, NN
sort, VBP
still, RB
born, VBN
1960, CD
1979, CD
watch, VBP
television, NN
worked, VBD
later, RB
as, RB
tall, JJ
as, IN
yours, NN
dark, JJ
looks, VBZ
snow, NN
started, VBD
snow, VB
sort, NN
mine, NN
expensive, JJ
handle, VB
train, NN
Toyota, NNP
family, NN
small, JJ
No, DT
pretty, RB
leaped, VBD
joy, NN
smiled, VBD
happily, RB
guy, NN
annoys, VBZ
batter, NN
crow, NN
flew, VBD
away, RB
went, VBD
Mary, NNP
Was, VBD
true, JJ
against, IN
war, NN
enjoyed, VBD
skating, VBG
friends, NNS
pumpkin, NN
When, WRB
does, VBZ
begin, VB
kids, NNS
Which, JJ
yours, VBN
broke, VBD
vase, NN
cake, NN
wheel, NN
Whose, JJ
use, VB
pen, JJ
Answer, NNP
questions, NNS
Are, VBP
they, PRP
gym, NN
Could, NNP
sign, VBP
Everybody, NN
Excuse, VB
lost, VBN
called, VBD
taxi, NN
felt, VBD
lonely, RB
lives, VBZ
next, JJ
seems, VBZ
rich, JJ
soon, RB
state, NN
taste, NN
from, IN
India, NNP
reading, VBG
bought, VBD
continued, VBD
singing, VBG
understand, VB
like, VB
summer, NN
forgot, VBD
ask, VB
hate, VBP
taking, VBG
risks, NNS
eaten, VBN
yet, RB
them, PRP
what, WP
tried, VBD
tell, VB
marry, VB
wanted, VBD
win, VB
city, NN
map, NN
ten, NN
bring, VB
wine, NN
called, VBN
ticket, NN
play, VB
baseball, NN
Must, NNP
write, VBP
ink, NN
My, PRP$
sister, NN
kept, VBD
working, VBG
pulled, VBD
shirt, NN
tiger, NN
skies, NNS
clear, JJ
trees, NNS
green, JJ
our, PRP$
books, NNS
need, VBP
Watch, VB
language, NN
tax, NN
answer, VB
box, NN
doing, VBG
airport, NN
teacher, NN
Why, WRB
Will, MD
Winter, NN
rely, VB
forgive, VB
study, VB
life, NN
saver, NN
Did, VBP
tell, VBP
pencil, NN
Tokyo, NNP
speak, VB
English, NNP
open, VB
worry, VB
Fish, JJ
sea, NN
Go, NNP
yourself, PRP
been, VBN
envied, VBD
success, NN
angry, JJ
poor, JJ
health, NN
lent, VBD
two, CD
excuse, NN
married, VBD
girl, NN
succeed, VB
agree, VBP
plan, NN
stranger, NN
counting, VBG
eating, VBG
apple, NN
mind, VB
waiting, VBG
expect, VBP
vomiting, VBG
few, JJ
stomachache, NN
problems, NNS
Kyoto, NNP
caught, VBN
just, RB
cut, VB
finger, NN
why, WRB
lost, VBD
consciousness, NN
meant, VBP
joke, NN
met, VBD
yesterday, NN
think, VBP
admit, VB
wrong, JJ
never, RB
allergic, JJ
fish, VB
glasses, NNS
made, VBN
decision, NN
open, JJ
Sunday, NNP
ringing, NN
eleven, JJ
charge, NN
easy, JJ
victory, NN
home, VBP
Lincoln, NNP
died, VBD
1865, CD
quickly, RB
shut, VBD
gave, VBD
watch, NN
wore, VBD
red, JJ
dress, NN
specialty, NN
house, NN
haunted, VBN
ablaze, IN
looked, VBD
sheets, NNS
damp, IN
water, NN
pipe, NN
burst, NN
mine, JJ
shoes, NNS
hers, NNS
They, PRP
zoo, NN
feels, NNS
silk, NN
broken, JJ
Time, NNP
goes, VBZ
by, IN
Galileo, NNP
contain, VB
return, VB
prove, VB
Your, PRP$
use, VBP
rumor, NN
keep, VB
secret, JJ
see, VBP
camera, NN
size, NN
Does, VBZ
disappointed, VBN
Fat, NNP
hens, NNS
lay, VBD
eggs, NNS
Has, VBZ
bell, NN
rung, NN
accepted, VBD
offer, NN
became, VBD
policeman, NN
climbed, VBD
stairs, NN
deals, VBZ
furniture, NN
little, JJ
sharp-shooter, NN
but, CC
horse, NN
sixty, NN
sang, VBD
while, IN
dear, JJ
sick, VBN
last, JJ
week, NN
won, VBD
race, NN
writes, VBZ
beautifully, RB
feel, VB
grateful, JJ
swimming, VBG
work, NN
let, VB
dove, VBP
into, IN
river, NN
Boston, NNP
servant, NN
liked, VBD
biology, NN
ran, VBD
visit, VB
Korea, NNP
walk, VB
daughter, NN
correct, NN
tomorrow, NN
start, VB
party, NN
Make, NNP
yourself, NN
comes, VBZ
eye, NN
swollen, VBN
Not, RB
close, VB
alone, JJ
ball, NN
Put, VBD
where, WRB
always, RB
asked, VBD
help, NN
tiny, JJ
toy, NN
hated, VBD
five, CD
years, NNS
lived, VBD
long, JJ
stubborn, JJ
wherever, IN
what, WDT
happened, VBD
lake, NN
deep, RB
hope, VBP
station, NN
nearby, JJ
each, DT
other, JJ
missed, VBD
shouted, VBD
friends, VBZ
disturbing, VBG
rested, VBD
while, NN
nonsense, NN
elevator, NN
these, DT
reap, VB
sow, VBP
hair, NN
``, ``
fox, NN
wild, JJ
animal, NN
A, NNP
rabbit, NN
ears, NNS
anyone, NN
color, NN
lose, VB
temper, NN
slap, VB
say, VB
such, JJ
thing, NN
knew, VBD
song, JJ
Fish, NNP
live, NN
run, VB
fast, RB
earns, VBZ
salary, NN
three, CD
daughters, NNS
knocked, VBD
learned, VBD
how, WRB
robbed, VB
told, VBD
tore, RB
apart, RB
understands, VBZ
physics, NNS
back, RP
Her, PRP$
Japanese, JJ
agree, VB
want, VB
pity, NN
found, VBD
cage, NN
empty, JJ
school, NN
foot, NN
woman, NN
prefer, VBP
coffee, NN
tea, VB
seem, VBP
fever, NN
wake, VBP
up, RB
7, CD
myself, PRP
fired, VBN
quit, VBP
nine, CD
wonder, VBP
Bloody, NNP
call, NN
longing, VBG
thinking, VBG
Is, VBP
absent, NN
difficult, JJ
rather, RB
Mind, NNP
own, JJ
business, NN
stomach, NN
growling, VBG
York, NNP
School, NNP
begins, VBZ
3:30, CD
Shall, NN
clean, VBP
wears, VBZ
piano, NN
gentle, JJ
heart, NN
wealthy, JJ
prattles, VBZ
showed, VBD
Should, MD
clean, VB
almost, RB
correct, JJ
cooked, VBN
oil, NN
That, NNP
question, NN
weird, JJ
baby, NN
ceased, VBD
gate, NN
open, RP
knife, NN
sharp, JJ
light, NN
sooner, NN
better, JJR
glad, JJ
thin, JJ
lion, NN
tame, JJ
feels, VBZ
smooth, JJ
engine, NN
often, RB
make, VBP
mistakes, NNS
temperature, NN
think, VB
stuttering, VBG
arrive, VB
had, VBD
plenty, NN
memory, NN
got, VBN
enough, RB
chairs, NNS
free, VBP
Tuesday, NNP
passport, NN
lend, VB
500, CD
yen, NNS
Ca, NNP
watch, VB
Does, NNP
milk, VB
spoil, VB
drink, VB
any, DT
alcohol, NN
forget, VB
Glass, NNP
sand, NN
abandoned, VBD
country, NN
catches, VBZ
colds, NNS
easily, RB
could, MD
decided, VBD
park, NN
smelling, VBG
soup, NN
used, VBN
playing, VBG
soccer, NN
sky, NN
tends, VBZ
arrogant, JJ
accused, VBN
theft, NN
more, JJR
than, IN
king, VBG
much, JJ
throwing, VBG
fell, VBD
love, NN
glass, NN
empty, NN
no, DT
dentist, NN
much, RB
studying, VBG
wish, VBP
present, JJ
quit, VB
drinking, NN
beer, NN
12, CD
six, CD
concern, NN
legs, JJ
Shall, NNP
get, VBP
chair, NN
dozen, NN
eggs, FW
dressed, VBN
white, JJ
late, JJ
Show, NNP
another, DT
example, NN
Swimming, NNP
Take, VBP
whichever, WDT
applies, NNS
many, JJ
debts, NNS
wood, NN
bus, NN
come, VBN
flames, NNS
adopted, VBD
orphan, NN
face, NN
afraid, JJ
beautiful, JJ
Tomorrow, NNP
birthday, JJ
Turn, NNP
way, NN
Two, CD
plus, CC
makes, VBZ
four, CD
Water, NNP
important, JJ
round, NN
table, NN
put, VBD
sugar, NN
tea, NN
nationality, NN
tennis, NN
rains, VBZ
pours, VBZ
ever, RB
turn, VB
TV, NN
should, MD
wait, VB
younger, JJR
Bad, NNP
travels, NNS
keep, VBP
Cheese, NN
milk, NN
Choose, NNP
between, IN
homework, NN
pen, NN
brothers, NNS
need, VB
ambulance, NN
Every, DT
garden, NN
under, IN
thirty, NN
cut, VBD
envelope, NN
open, IN
die, VB
cancer, NN
fond, JJ
people, NNS
leveled, VBD
gun, NN
murder, NN
then, RB
listen, VB
dissatisfied, VBN
novel, NN
please, NN
seat, NN
waited, VBN
half, PDT
kilo, NN
able, JJ
beg, VBP
differ, VB
without, IN
stand, VB
anymore, RB
further, JJ
jacket, NN
subway, NN
forest, NN
cups, NNS
condition, NN
someone, NN
knocking, VBG
coughing, VBG
medicine, NN
trip, NN
explain, VB
spoke, VBP
Spanish, JJ
refund, NN
later, RBR
bath, NN
read, VBN
first, JJ
page, NN
Iron, NNP
harder, JJR
gold, NN
ten, JJ
healthy, JJ
introduce, VB
wife, NN
wait, VBZ
minutes, NNS
obstinate, JJ
refused, VBD
notice, VB
Ten, CD
pulse, NN
food, NN
committed, VBD
murder, PDT
successful, JJ
gathered, VBD
amount, NN
includes, VBZ
rooms, NNS
large, JJ
road, NN
narrow, JJ
import, VBP
tea, NNS
would, MD
air, NN
looking, VBG
lacks, VBZ
courage, NN
line, NN
mind, NN
5, CD
times, NNS
B, NNP
Apples, NNP
sale, NN
As, IN
satisfied, JJ
Canada, NNP
eight, CD
police, NN
arrest, NN
fairies, NNS
larger, JJR
along, RB
before, RB
learn, VB
America, NNP
hammered, VBD
window, NN
hesitated, VBD
moment, NN
neighbors, NNS
everybody, NN
plays, VBZ
taught, VBD
write, VB
walked, VBD
burning, VBG
sentenced, VBN
death, NN
witnessed, VBD
accident, NN
sleeping, VBG
His, PRP$
quota, NN
bowls, RB
cars, NNS
Hunger, NNP
drove, VBD
steal, VB
farther, NN
caught, VBD
glimpse, NN
rest, NN
fixed, VBD
she, PRP
Facebook, NNP
account, NN
seen, VBN
lately, RB
smiles, VBZ
sold, VBD
dollars, NNS
usually, RB
manager, NN
travel, VB
might, MD
wish, JJ
p.m, NN
towel, NN
disappointed, JJ
interested, JJ
standing, VBG
shade, NN
add, VB
10, CD
meet, NN
afternoon, NN
ask, VBP
Mother, NNP
brother, NN
stopped, VBD
smoking, VBG
hates, VBZ
cats, NNS
Never, NNP
speak, VBP
ill, NN
others, NNS
One, CD
bags, NNS
missing, VBG
begins, NNS
8:30, CD
a.m, NN
herself, PRP
picture, NN
Smog, NNP
causes, VBZ
plants, NNS
snakes, NNS
poisonous, JJ
Thank, NNP
enemy, NN
wo, MD
haze, NN
enveloped, VBD
London, NNP
king, NN
abused, VBD
prisoner, NN
released, VBN
There, EX
apples, NNS
watching, VBG
movie, NN
desk, NN
Today, NN
Independence, NNP
Day, NNP
cry, VB
Twenty, NNP
families, NNS
sorry, NN
painted, VBD
regard, VBP
hero, NN
pond, NN
protect, VB
favorite, JJ
talking, VBG
Would, MD
smoke, VBD
Yesterday, NN
coal, NN
appeared, VBD
appointment, NN
fail, VB
things, NNS
Each, DT
bicycle, NN
Father, NNP
watering, VBG
flowers, NNS
Greeks, NNP
eat, VBZ
koala, NN
officer, NN
believes, VBZ
whatever, WDT
say, VBP
smoking, NN
engaged, VBN
occasionally, RB
visited, VBD
late, RB
class, NN
opinions, NNS
worthless, JJ
Honesty, NNP
best, JJS
policy, NN
arrived, VBD
usual, JJ
believe, VBP
whatever, IN
says, VBZ
pencils, NNS
cover, VBP
twenty, JJ
miles, NNS
care, VB
decline, VB
sat, VBD
John, NNP
June, NNP
4, CD
1974, CD
month, NN
good-for-nothing, JJ
bum, NN
mouse, NN
dead, JJ
or, CC
alive, JJ
hardly, RB
said, VBD
interesting, VBG
raining, VBG
same, JJ
aunt, NN
brought, VBD
boss, NN
Our, PRP$
suddenly, RB
Place, NNP
wherever, WDT
feed, VB
arms, NNS
famous, JJ
care, NN
great, JJ
idea, NN
bride, NN
hit, VBD
head, NN
tastes, VBZ
bitter, IN
mud, NN
clung, NN
exciting, VBG
paint, NN
dried, VBN
rain, NN
drinkable, JJ
monsoon, NN
season, NN
word, NN
Greek, JJ
talk, VB
Turn, VB
off, RP
celebrated, VBD
promise, NN
voted, VBD
candidate, NN
complete, JJ
sentences, NNS
figured, VBD
hurt, VBN
pride, NN
order, NN
all, PDT
bread, NN
changing, VBG
complaining, VBG
twenty-four, JJ
hours, NNS
At, IN
teach, VBP
slowly, RB
soft, JJ
drinks, NNS
somewhere, RB
France, NNP
Western, NNP
Europe, NNP
western, JJ
breathe, VB
explained, VBD
rule, NN
digging, VBG
grave, NN
prefers, VBZ
German, VB
repeated, VBD
treats, VBZ
slave, NN
instead, RB
August, NNP
21st, CD
accompanied, VBD
walk, NN
before, IN
cleaned, VBN
letter, NN
cycling, VBG
crossing, VBG
Osaka, NNP
1977, CD
duty, NN
sorry, JJ
Insert, NNP
useful, JJ
metal, NN
spoken, VBN
Mexico, NNP
ten, CD
million, CD
sheer, JJ
waste, NN
dream, NN
expenses, NNS
loves, VBZ
spa, NN
jeans, NNS
shrank, VBD
wash, NN
answer, NN
also, RB
answered, VBD
else, RB
offered, VBN
cup, NN
speak, NN
low, JJ
voice, NN
See, NNP
outside, IN
allowed, VBD
alone, RB
declined, VBD
invitation, NN
dialed, VBD
number, NN
saved, VBD
hundred, CD
robbed, VBN
purse, NN
bun, NN
Smoking, NNP
allowed, VBN
Soldiers, NNS
danger, VB
Someone, NNP
Spanish, NNP
Speaking, NNP
Stand, NNP
silent, JJ
Take, NNP
socks, NNS
Ten, NNP
houses, NNS
burned, VBN
Japanese, NNS
smelled, VBD
tobacco, NN
store, NN
teachers, NNS
eleven, VBN
real, JJ
diamond, NN
turn, VBP
fire, NN
Try, NNP
improve, VB
drink, VBP
ourselves, PRP
next-door, JJ
south, JJ
terminal, NN
coming, JJ
Always, NNP
office, NN
tidy, NN
Chinese, JJ
meeting, VBG
Brush, NNP
teeth, NNS
meals, NNS
Correct, VBP
underlined, JJ
words, NNS
tickets, NNS
speech, NN
force, VB
child, NN
eat, VB
lean, VB
wall, NN
Football, NNP
game, NN
Africa, NNP
written, VBN
roses, NNS
changed, VBD
schools, NNS
eats, VBZ
lunch, NN
cafeteria, NN
ear, NN
set, VBD
wants, VBZ
shirts, NNS
washed, VBD
wishes, VBZ
become, VB
clothes, NNS
smell, VBP
bored, VBD
advise, VBP
degree, NN
more, RBR
pleased, JJ
result, NN
bottles, NNS
allow, VB
happen, VB
followed, VBD
deer, NN
tracks, NNS
pain, NN
back, NN
informed, VBD
science, NN
mentioned, VBD
laughed, VBN
dozens, NNS
farm, NN
anxious, JJ
safety, NN
catching, VBG
11:00, CD
appears, VBZ
honest, JJ
fate, NN
young, JJ
use, NN
arguing, VBG
Keep, NNP
Most, JJS
grandmother, NN
hobby, NN
collecting, VBG
coins, NNS
telephone, NN
children, NNS
enough, JJ
show, VB
notebook, NN
wait, NN
Say, NNP
which, WDT
Seicho, NNP
Matumoto, NNP
1992, CD
Stop, NNP
beating, NN
bush, NN
Tea, NNP
widely, RB
grown, VBN
yours, NNS
because, IN
begun, VBN
decay, VB
capital, NN
Italy, NNP
Rome, NNP
pole, NN
cliff, NN
vertical, JJ
cry, VBP
crushed, VBD
enemies, NNS
monkey, NN
tree, NN
population, NN
increasing, VBG
ship, NN
set, VBN
sail, NN
Bombay, NNP
their, PRP$
resolved, VBD
harder, NN
Rodica, NNP
fifth, JJ
sounds, NNS
strange, JJ
Wo, VBP
send, VB
Could, MD
parents, NNS
Excuse, IN
taken, VBN
Few, JJ
island, NN
Half, NNP
rotten, VBN
concealed, VBD
fact, NN
told, VBN
accustomed, VBN
costly, JJ
purchases, NNS
spread, VBD
butter, NN
took, VBD
advantage, NN
youth, NN
toward, IN
Monday, NNP
within, IN
3, CD
about, RB
movies, NNS
weather, NN
disturbed, VBP
bear, VB
put, VB
cold, NN
Sundays, NNS
reasonable, JJ
basketball, NN
escaped, VBD
months, NNS
take, VBP
traffic, NN
jam, NN
pleased, VBN
jobs, NNS
Man, NNP
dreams, NNS
Playing, VBG
feed, VBD
eight-thirty, JJ
mail, VB
thought, VBD
withered, VBD
governed, VBD
patient, NN
bound, VBN
Finland, NNP
broken, VBN
pieces, VB
favor, NN
future, NN
consider, VBP
intelligent, NN
contains, VBZ
solve, VB
mile, NN
across, IN
applies, VBZ
students, NNS
Today, VBP
Today, NNP
surprised, VBN
undone, JJ
kind, NN
bed, VB
park, VB
Your, NNP
team, NN
ours, NNS
3:20, CD
Both, DT
sisters, NNS
married, JJ
Business, NNP
slow, JJ
days, NNS
Dad, NNP
shaving, VBG
bathroom, NN
that, WDT
cheaper, JJR
speak, JJ
Australia, NNP
Fighting, NNP
settle, VB
Flying, VBG
kite, NN
dangerous, JJ
Give, VB
attention, NN
walks, VBZ
morning, NN
absence, NN
due, JJ
illness, VB
behavior, NN
odd, JJ
interpret, VB
poem, NN
bet, VBP
pounds, NNS
when, WRB
bone, NN
pick, VB
since, IN
keys, NNS
wallet, NN
motioned, VBD
folder, NN
such, PDT
worked, VBN
possible, JJ
borrow, VB
worrying, VBG
find, VB
politics, NNS
Physics, NNP
subject, JJ
louder, JJ
Remove, NNP
lie, VB
tries, VBZ
something, NN
wonderful, JJ
meal, NN
helped, VBD
pack, VB
suitcase, NN
appearing, VBG
tonight, NN
warned, VBD
distance, NN
Someone, NN
cut, VBN
kite, JJ
string, NN
Such, PDT
occurs, VBZ
frequently, RB
roof, NN
raised, VBD
cloud, NN
dust, NN
flying, VBG
kites, NNS
itself, PRP
barking, VBG
moves, VBZ
sun, NN
investigation, NN
men, NNS
hunting, VBG
lions, NNS
plane, NN
crash, NN
200, CD
shop, NN
carried, VBD
leather, JJR
goods, NNS
Their, PRP$
wedding, NN
towels, NNS
15, CD
church, NN
yours, JJR
good, VB
sixteenth, JJ
world, NN
peace, NN
supper, NN
author, NN
late, VBP
dine, VB
owe, VBP
apology, NN
kept, VBN
listened, VBN
struck, VBD
All, PDT
owner, NN
solved, VBD
exports, NNS
wool, NN
Believe, VBP
China, NNP
bigger, JJR
fish, NN
hear, VB
Even, RB
Everything, NNP
all, RB
Finish, NN
Fresh, JJ
vegetables, NNS
promote, VBP
Fresh, NNP
making, VBG
buried, VBN
graveyard, NN
peasant, NN
stuff, NN
remember, VBP
first, RB
place, NN
gon, VBG
na, TO
back, VBP
heavily, RB
heat, NN
properly, RB
Perhaps, RB
until, IN
gazed, VBD
off, RB
apartment, NN
rainy, JJ
vain, NN
Swimming, VBG
Tell, NNP
whoever, WP
clock, NN
struck, VBN
dictionary, NN
close, RB
hand, NN
sinking, VBG
discussing, VBG
To, TO
degree, VB
trust, VB
jump, VB
high, JJ
crows, NNS
Unless, IN
ocean, NN
hurried, VBD
get, NN
cross, VB
boat, NN
baggage, NN
newspapers, NNS
Who, NNP
Wipe, VB
dance, VB
conform, VB
rules, NNS
similar, JJ
mine, VB
play, NN
Yes, PRP$
let, NN
rope, NN
thrown, VBN
Do, NNP
count, VB
plans, NNS
detail, NN
cut, NN
losing, VBG
umbrella, NN
stingy, JJ
pressed, VBD
prompt, JJ
reply, NN
paper, NN
killed, VBN
single, JJ
bullet, NN
weighed, VBD
stone, NN
grandfather, NN
Hurry, NNP
ashamed, VBN
having, VBG
lazy, JJ
housework, NN
sleep, VB
finished, VBN
task, NN
meet, VBD
wrote, VBD
sin, NN
lie, NN
anywhere, RB
asking, VBG
medicine, JJ
visiting, VBG
temples, NNS
Oh, NNP
gas, NN
billion, CD
consists, VBZ
fifty, JJ
meeting, NN
quite, RB
accidental, JJ
pardon, VB
half, DT
past, JJ
raise, VB
funds, NNS
gladly, RB
proposal, NN
remained, VBD
reproached, VBD
being, VBG
Paris, NNP
stripped, VBD
conference, NN
end, VB
aware, JJ
danger, NN
starts, VBZ
extent, NN
shooting, NN
around, RB
noon, RB
rang, VBD
several, JJ
top, NN
mountain, NN
flat, JJ
wind, NN
planted, VBN
trouble, NN
scolded, VBN
pictures, NNS
older, JJR
cave, NN
tie, NN
suit, NN
stayed, VBD
hotel, NN
forest, JJS
motive, NN
blame, VB
sing, VB
Beatles, NNP
song, NN
early, JJ
chat, VB
rid, JJ
habit, NN
gets, VBZ
nerves, NNS
squirrel, NN
hid, NN
among, IN
branches, NNS
Almost, NNP
leaves, NNS
fallen, VBN
realized, VBD
Coincidentally, RB
hospital, NN
computer, NN
program, NN
Elephants, NNS
Asia, NNP
Neither, CC
hid, VBD
sadness, NN
behind, IN
smile, NN
languages, NNS
used, VBD
pigeons, NNS
experiment, NN
short, JJ
cash, NN
arrogance, NN
fool, NN
doubt, VBP
ability, NN
fortune, NN
adjust, VB
swim, NN
prize, NN
asked, VBN
message, NN
village, NN
ten, VB
better, RBR
ignore, VB
point, NN
proved, VBN
thief, NN
neat, JJ
piece, NN
advice, NN
prided, VBD
accompany, VBP
celebrated, VBN
hens, VBZ
laid, VBN
fewer, JJR
Delhi, NNP
Only, NNP
rarely, RB
ashamed, JJ
harm, NN
Someday, NNP
Stamps, NNP
sold, VBN
p.m, IN
covered, VBN
snow, PDT
exactly, RB
prevented, VBD
parallel, JJ
besides, IN
murders, NNS
willing, JJ
shared, VBD
profit, NN
observe, VB
speed, NN
limit, NN
breakfast, VBN
7:30, CD
complain, VB
Your, JJ
English, VB
police, JJ
An, DT
elephant, NN
dislike, VBP
Bern, NNP
Switzerland, NNP
call, VBP
hear, VBP
classmates, NNS
cook, VB
comfort, NN
faults, NNS
reverse, NN
neighborhood, NN
case, NN
sense, NN
right, NN
rebellion, NN
faster, RBR
rescued, VBD
living, VBG
market, NN
sandwiches, NNS
remain, VB
tolerate, VB
naughty, JJ
statement, NN
haste, NN
repair, NN
group, NN
actress, NN
wash, VBZ
dishes, NNS
German, JJ
ordered, VBD
Germany, NNP
art, NN
safe, JJ
If, IN
wings, NNS
Friday, NNP
rain, VB
golf, NN
Learning, VBG
foreign, JJ
fun, JJ
depends, VBZ
fond, NN
cleared, VBN
Nowadays, NNPS
nobody, NN
ghosts, NNS
accused, VBD
overseas, JJ
insecure, NN
preparing, VBG
surprised, JJ
planting, NN
roses, VBZ
Since, IN
Teaching, VBG
profession, NN
animals, NNS
asleep, RB
cradle, NN
pocket, NN
holding, VBG
hole, NN
deprived, VBN
jungle, NN
mystery, NN
remains, VBZ
unsolved, JJ
discussed, VBN
storm, NN
destroyed, VBD
whole, JJ
